"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.339283318E1,5.367820263E-1,-2.479276359E-1,-6.708629727E-1
2.339772953E1,4.292729199E-1,-1.172063202E-1,-5.639647245E-1
2.340262589E1,3.150444627E-1,3.000787087E-2,-4.301891923E-1
2.340752224E1,2.026485801E-1,1.851630807E-1,-2.744231224E-1
2.341241860E1,9.880454093E-2,3.329881132E-1,-1.027750522E-1
2.341731495E1,9.620844387E-3,4.606551826E-1,7.192726433E-2
2.342221130E1,-6.123743951E-2,5.559473634E-1,2.350998372E-1
2.342710766E1,-1.119377613E-1,6.084802151E-1,3.792597950E-1
2.343200406E1,-1.473668963E-1,6.127561331E-1,4.989858568E-1
2.343690042E1,-1.718007922E-1,5.724402666E-1,5.936672091E-1
2.344179677E1,-1.858502775E-1,4.960843325E-1,6.608603597E-1
2.344669313E1,-1.901262105E-1,3.934620023E-1,6.999546289E-1
2.345158948E1,-1.809635013E-1,2.743467689E-1,7.121715546E-1
2.345648584E1,-1.601946950E-1,1.424037665E-1,6.981220841E-1
2.346138219E1,-1.314848661E-1,4.963133950E-3,6.688013673E-1
2.346627854E1,-9.605573118E-2,-1.300341040E-1,6.278746128E-1
2.347117490E1,-6.062658876E-2,-2.497601658E-1,5.802285671E-1
2.347607125E1,-3.008422814E-2,-3.450523317E-1,5.289173722E-1
2.348096761E1,-1.175880991E-2,-4.043045342E-1,4.776062071E-1
2.348586396E1,-7.482878864E-3,-4.171323180E-1,4.324035048E-1
2.349076031E1,-1.420219894E-2,-3.749838471E-1,3.902550340E-1
2.349565667E1,-2.397575416E-2,-2.656421959E-1,3.560476005E-1
2.350055307E1,-3.252761811E-2,-7.811209559E-2,3.297811747E-1
2.350544943E1,-3.069507517E-2,1.894390136E-1,3.187859058E-1
2.351034578E1,-1.725643501E-2,5.205182433E-1,3.163425326E-1
2.351524214E1,1.267508045E-2,8.833615184E-1,3.267269135E-1
2.352013849E1,7.314895838E-2,1.251702428E0,3.487174213E-1
2.352503484E1,1.959292591E-1,1.606604695E0,3.780381083E-1
2.352993120E1,3.907895386E-1,1.931575418E0,4.024719894E-1
2.353482755E1,6.290199757E-1,2.197981119E0,4.116346836E-1
2.353974208E1,8.606074452E-1,2.375126839E0,3.939201236E-1
2.354462026E1,1.026757836E0,2.444152594E0,3.340570927E-1
2.354953479E1,1.088453412E0,2.416664362E0,2.412083149E-1
2.355441302E1,1.026147008E0,2.304268599E0,1.049130186E-1
2.355932755E1,8.209023476E-1,2.087341547E0,-9.361234307E-2
2.356420573E1,4.219427407E-1,1.712892056E0,-4.216373265E-1
2.356910208E1,-2.646495700E-1,1.152745128E0,-9.329164624E-1
2.357399844E1,-1.138772011E0,5.675534606E-1,-1.582247138E0
2.357889479E1,-1.901720285E0,2.578538954E-1,-2.290829897E0
2.358379115E1,-2.519363165E0,1.576749533E-1,-2.818678379E0
2.358869089E1,-3.091116190E0,7.215633243E-2,-2.967725039E0
2.359358386E1,-3.467398167E0,1.210241169E-1,-2.887704134E0
2.359848021E1,-3.609114647E0,3.445942104E-1,-2.675129175E0
2.360337656E1,-3.565744400E0,5.351785421E-1,-2.265785217E0
2.360837042E1,-3.326292276E0,6.139778495E-1,-1.636001706E0
2.361316922E1,-2.843112230E0,7.056049109E-1,-9.115368128E-1
2.361806563E1,-2.143081188E0,8.632035255E-1,-2.860292196E-1
2.362296198E1,-1.337297320E0,9.939248562E-1,1.195733473E-1
2.362785839E1,-5.590779781E-1,9.584956765E-1,3.035147190E-1
2.363275474E1,8.719844371E-2,6.072585583E-1,3.413872719E-1
2.363765110E1,5.154023767E-1,-2.656421959E-1,2.839676142E-1
2.364254745E1,7.787538767E-1,-1.231468081E0,1.575222313E-1
2.364744380E1,1.071960568E0,-1.713426590E0,-1.786728203E-2
2.365234016E1,1.379827619E0,-1.786728263E0,-1.895153672E-1
2.365723651E1,1.635772586E0,-1.675554037E0,-3.153499067E-1
2.366213287E1,1.793371201E0,-1.530783176E0,-4.075878263E-1
2.366702922E1,1.861175299E0,-1.385401607E0,-4.815003574E-1
2.367192557E1,1.847736597E0,-1.214364409E0,-5.438067913E-1
2.367682193E1,1.745114207E0,-9.877400398E-1,-5.816792846E-1
2.368171828E1,1.551475644E0,-7.110261917E-1,-5.810684562E-1
2.368661464E1,1.283313751E0,-4.220190942E-1,-5.462501645E-1
2.369151104E1,9.748358727E-1,-1.306449622E-1,-4.815003574E-1
2.369640740E1,6.601731777E-1,1.692810506E-1,-3.868190348E-1
2.370130375E1,3.461976945E-1,4.459948540E-1,-2.567085624E-1
2.370620011E1,3.771981969E-2,6.604022384E-1,-8.567132801E-2
2.371109646E1,-2.542651594E-1,8.008971214E-1,1.238492802E-1
2.371599281E1,-5.218162537E-1,8.699228764E-1,3.645994663E-1
2.372090734E1,-7.679877281E-1,8.803072572E-1,6.003865004E-1
2.372578552E1,-9.872818589E-1,8.253310323E-1,7.940250635E-1
2.373068188E1,-1.164427638E0,7.068266273E-1,9.278006554E-1
2.373557823E1,-1.279266834E0,5.944307446E-1,1.008432508E0
2.374047458E1,-1.314695954E0,5.199073553E-1,1.037142277E0
2.374537094E1,-1.278045177E0,4.545467198E-1,1.013319254E0
2.375026729E1,-1.187028885E0,3.537569046E-1,9.583429694E-1
2.375516370E1,-1.045312405E0,1.986017078E-1,9.051992893E-1
2.376006000E1,-8.516737819E-1,2.389939874E-2,8.801545501E-1
2.376495641E1,-6.189410090E-1,-1.159846261E-1,8.740460873E-1
2.376987094E1,-3.684936166E-1,-1.898971349E-1,8.618291020E-1
2.377474912E1,-1.241547018E-1,-2.070008665E-1,8.355627060E-1
2.377964547E1,9.819369763E-2,-2.008923888E-1,7.891383171E-1
2.378454182E1,2.930539846E-1,-1.843995154E-1,7.390488386E-1
2.378943818E1,4.573718905E-1,-1.599656194E-1,6.871268153E-1
2.379433453E1,5.893148780E-1,-1.324774921E-1,6.358156204E-1
2.379923089E1,6.876612902E-1,-1.086544544E-1,5.906129479E-1
2.380412724E1,7.512657642E-1,-8.666395396E-2,5.484644771E-1
2.380902360E1,7.830298543E-1,-6.711684167E-2,5.105919242E-1
2.381391995E1,7.866948843E-1,-4.818057641E-2,4.727194309E-1
2.381881630E1,7.683694959E-1,-2.985516004E-2,4.385119677E-1
2.382371271E1,7.304969430E-1,-8.475505747E-3,4.134672284E-1
2.382860901E1,6.778877378E-1,1.901262067E-2,3.902550340E-1
2.383350542E1,6.119162440E-1,4.527905211E-2,3.688753843E-1
2.383849927E1,5.386145711E-1,7.521057129E-2,3.462740481E-1
2.384329807E1,4.579827189E-1,1.081963181E-1,3.242835402E-1
2.384819448E1,3.773508966E-1,1.417929232E-1,2.998496592E-1
2.385309084E1,2.967190444E-1,1.741678268E-1,2.729723752E-1
2.385798719E1,2.191414535E-1,2.034884989E-1,2.418191582E-1
2.386288354E1,1.464506239E-1,2.218139172E-1,2.045574784E-1
2.386777990E1,7.986827940E-2,2.254789919E-1,1.630198658E-1
2.387267625E1,2.122694254E-2,2.132620513E-1,1.122431830E-1
2.387757261E1,-3.130592033E-2,1.845522225E-1,5.299099907E-2
2.388246896E1,-7.956285775E-2,1.381278336E-1,-1.359135192E-2
2.388736531E1,-1.223221645E-1,7.459972054E-2,-8.261708915E-2
2.389226172E1,-1.626380831E-1,-1.145338640E-3,-1.491994411E-1
2.389715807E1,-2.017323077E-1,-8.788564801E-2,-2.157817930E-1
2.390205443E1,-2.420482337E-1,-1.837886721E-1,-2.756448388E-1
2.390695078E1,-2.884726226E-1,-2.772482932E-1,-3.275668323E-1
2.391184714E1,-3.397837877E-1,-3.523825109E-1,-3.678827584E-1
2.391674349E1,-3.978142738E-1,-3.981960714E-1,-3.984251320E-1
2.392163984E1,-4.613423944E-1,-4.116346836E-1,-4.173613787E-1
2.392653620E1,-5.297572613E-1,-3.939201236E-1,-4.259132445E-1
2.393143255E1,-6.061131954E-1,-3.554367423E-1,-4.277457893E-1
2.393632891E1,-6.910209656E-1,-3.029038906E-1,-4.271349311E-1
2.394122526E1,-7.875348330E-1,-2.479276359E-1,-4.253024161E-1
2.394612162E1,-8.932114244E-1,-2.015032321E-1,-4.216373265E-1
2.395101797E1,-9.994988441E-1,-1.660740972E-1,-4.118637741E-1
2.395591432E1,-1.103342891E0,-1.373642832E-1,-3.941491842E-1
2.396081073E1,-1.205965161E0,-1.141520813E-1,-3.746020794E-1
2.396570709E1,-1.298203111E0,-9.277242422E-2,-3.538332880E-1
2.397060344E1,-1.372115612E0,-8.727480471E-2,-3.287885487E-1
2.397549979E1,-1.427091956E0,-1.141520813E-1,-3.019112647E-1
2.398039615E1,-1.464353561E0,-1.642415524E-1,-2.719797492E-1
2.398529250E1,-1.485122442E0,-2.063900232E-1,-2.353289127E-1
2.399018886E1,-1.493674278E0,-2.552577853E-1,-2.121167034E-1
2.399508521E1,-1.482679009E0,-2.784699798E-1,-1.980672181E-1
2.399998156E1,-1.461299300E0,-2.424300015E-1,-1.889045089E-1
2.400487792E1,-1.435643792E0,-1.434727460E-1,-1.803526580E-1
2.400977427E1,-1.407544851E0,9.849912487E-3,-1.638597846E-1
2.401467063E1,-1.355011940E0,1.766112149E-1,-1.601946950E-1
2.401958495E1,-1.284764528E0,3.128301501E-1,-1.711899489E-1
2.402446334E1,-1.189472318E0,4.105657041E-1,-1.821851879E-1
2.402935969E1,-1.067913771E0,4.630985856E-1,-1.876828223E-1
2.403425604E1,-9.359707236E-1,4.704287350E-1,-1.895153672E-1
2.403917063E1,-8.052493930E-1,4.582118094E-1,-1.950129867E-1
2.404404880E1,-6.849125028E-1,4.618768692E-1,-2.035648525E-1
2.404894516E1,-5.761816502E-1,4.985277057E-1,-2.157817930E-1
2.405384151E1,-4.833329022E-1,5.773270130E-1,-2.304421216E-1
2.405873787E1,-4.020902216E-1,6.878903508E-1,-2.444916219E-1
2.406363422E1,-3.306210935E-1,7.746306658E-1,-2.652604282E-1
2.406853057E1,-2.719797492E-1,7.996754050E-1,-2.921377122E-1
2.407342693E1,-2.316638231E-1,7.611920238E-1,-3.281776905E-1
2.407832328E1,-2.084516287E-1,6.756734252E-1,-3.709369898E-1
2.408321964E1,-2.035648525E-1,5.693860054E-1,-4.094203711E-1
2.408811599E1,-2.170034945E-1,4.643202722E-1,-4.362976551E-1
2.409301234E1,-2.493783981E-1,3.781908154E-1,-4.497362971E-1
2.409790870E1,-2.951919436E-1,3.311555684E-1,-4.521796703E-1
2.410280505E1,-3.446705639E-1,3.427616656E-1,-4.558447599E-1
2.410770141E1,-3.978142738E-1,4.178958833E-1,-4.595098495E-1
2.411259776E1,-4.607315361E-1,5.437304378E-1,-4.509579837E-1
2.411749412E1,-5.315898061E-1,6.866686940E-1,-4.210264683E-1
2.412239052E1,-6.097782850E-1,7.966212034E-1,-3.739912212E-1
2.412728688E1,-6.904101372E-1,8.259418607E-1,-3.165715933E-1
2.413218323E1,-7.643226385E-1,7.483642697E-1,-2.438807636E-1
2.413707959E1,-8.107470274E-1,5.791595578E-1,-1.577513069E-1
2.414197594E1,-8.076927662E-1,3.525352180E-1,-7.284353673E-2
2.414687229E1,-7.264500856E-1,4.955498502E-2,3.512371797E-3
2.415176865E1,-5.163186193E-1,-4.116346836E-1,8.719844371E-2
2.415666500E1,-1.724116355E-1,-8.796200752E-1,1.752368063E-1
2.416156136E1,2.588465214E-1,-1.159998894E0,2.589228749E-1
2.416645771E1,7.341620326E-1,-1.185043693E0,3.322245479E-1
2.417137224E1,1.214287996E0,-9.914051294E-1,4.000285864E-1
2.417625042E1,1.672423482E0,-6.737645268E-1,4.611133337E-1
2.418114677E1,2.095129728E0,-3.096232116E-1,5.026509166E-1
2.418604313E1,2.469579220E0,4.039227590E-2,5.185329914E-1
2.419095771E1,2.788441420E0,2.957264185E-1,5.099810958E-1
2.419583584E1,3.048662424E0,4.258368909E-1,4.983749986E-1
2.420073219E1,3.250241995E0,4.276694357E-1,4.971533120E-1
2.420562860E1,3.387071609E0,3.274904788E-1,5.008183718E-1
2.421054313E1,3.445178509E0,1.601183414E-1,5.020400882E-1
2.421542130E1,3.392569304E0,-3.168770298E-2,5.099810958E-1
2.422031766E1,3.227029800E0,-2.124984860E-1,5.362475514E-1
2.422521401E1,2.975360632E0,-3.817031682E-1,5.820610523E-1
2.423011037E1,2.667493582E0,-4.971533120E-1,6.407024264E-1
2.423500672E1,2.338857889E0,-5.502970219E-1,7.213342786E-1
2.423990307E1,2.015108824E0,-5.717530251E-1,8.251782656E-1
2.424479943E1,1.711517692E0,-5.619794726E-1,9.308548570E-1
2.424971396E1,1.438468933E0,-5.405234694E-1,1.022481918E0
2.425459214E1,1.203903556E0,-5.423560143E-1,1.097616196E0
2.425950667E1,1.017595172E0,-5.577035546E-1,1.158700943E0
2.426438485E1,8.728243709E-1,-5.705313683E-1,1.208179474E0
2.426929938E1,7.708128691E-1,-5.674771070E-1,1.249717116E0
2.427417755E1,6.986565590E-1,-5.460211039E-1,1.269264221E0
2.427907391E1,6.540647149E-1,-5.069268942E-1,1.261323214E0
2.428397026E1,6.357392669E-1,-4.550048411E-1,1.232613444E0
2.428888485E1,6.406260729E-1,-4.018611312E-1,1.187410712E0
2.429376302E1,6.595623493E-1,-3.468848765E-1,1.120828390E0
2.429865938E1,6.858287454E-1,-2.851893008E-1,1.040196538E0
2.430355573E1,7.029324770E-1,-2.332672924E-1,9.522345066E-1
2.430852479E1,6.925480962E-1,-2.198286504E-1,8.673267365E-1
2.431334844E1,6.479562521E-1,-2.546469569E-1,7.866948843E-1
2.431824479E1,5.728220344E-1,-3.224509954E-1,7.060630918E-1
2.432314115E1,4.799732268E-1,-3.926984370E-1,6.266529560E-1
2.432803750E1,3.779617548E-1,-4.421770573E-1,5.429668427E-1
2.433293386E1,2.741177082E-1,-4.629458785E-1,4.574482441E-1
2.433783021E1,1.714953631E-1,-4.568373859E-1,3.719296157E-1
2.434272656E1,6.581879407E-2,-4.287384152E-1,2.876327038E-1
2.434762292E1,-3.863608837E-2,-3.920875788E-1,2.021140903E-1
2.435251927E1,-1.357607991E-1,-3.481065929E-1,1.177408099E-1
2.435741568E1,-2.194468826E-1,-2.821350694E-1,3.527642787E-2
2.436231203E1,-2.890834510E-1,-1.850103587E-1,-4.413371533E-2
2.436720839E1,-3.446705639E-1,-5.795413256E-2,-1.211004704E-1
2.437210474E1,-3.904841244E-1,9.536852688E-2,-1.852394342E-1
2.437700110E1,-4.259132445E-1,2.627406716E-1,-2.334963679E-1
2.438189745E1,-4.466820657E-1,4.288911223E-1,-2.713688910E-1
2.438679380E1,-4.485146105E-1,5.822138190E-1,-2.988570333E-1
2.439170834E1,-4.277457893E-1,7.104917169E-1,-3.220692277E-1
2.439658651E1,-3.880407214E-1,8.088381290E-1,-3.477247953E-1
2.440148287E1,-3.312319219E-1,8.656468987E-1,-3.800997138E-1
2.440637922E1,-2.603736520E-1,8.809180856E-1,-4.234698713E-1
2.441127557E1,-1.772984117E-1,8.558733463E-1,-4.729484916E-1
2.441617193E1,-8.322793990E-2,8.015079498E-1,-5.285356045E-1
2.442106828E1,1.511846948E-2,7.159893513E-1,-5.902311802E-1
2.442596464E1,1.104106456E-1,6.035934687E-1,-6.500942111E-1
2.443086099E1,1.910424829E-1,4.740938246E-1,-7.099572420E-1
2.443575740E1,2.539597452E-1,3.409291208E-1,-7.661551833E-1
2.444065375E1,2.954973578E-1,2.053210288E-1,-8.119687438E-1
2.444555011E1,3.174878657E-1,6.971294433E-2,-8.437327743E-1
2.445046464E1,3.242071867E-1,-6.528430432E-2,-8.651124239E-1
2.445534281E1,3.113794029E-1,-1.972273141E-1,-8.718317747E-1
2.446025735E1,2.808370292E-1,-3.084014952E-1,-8.638907075E-1
2.446513552E1,2.301367074E-1,-3.823140264E-1,-8.406785131E-1
2.447003188E1,1.598892659E-1,-4.012503028E-1,-8.009734750E-1
2.447492823E1,7.131642103E-2,-3.615452349E-1,-7.435538173E-1
2.447982459E1,-2.886253223E-2,-2.766374648E-1,-6.629219651E-1
2.448472094E1,-1.327065676E-1,-1.672957987E-1,-5.584670901E-1
2.448961729E1,-2.334963679E-1,-5.978667364E-2,-4.344651103E-1
2.449451365E1,-3.263451457E-1,3.061871976E-2,-2.958027720E-1
2.449941000E1,-4.075878263E-1,9.964445978E-2,-1.479777545E-1
2.450430636E1,-4.753918648E-1,1.417929232E-1,4.734066315E-3
2.450920271E1,-5.254813433E-1,1.595074832E-1,1.532463133E-1
2.451409912E1,-5.590779781E-1,1.570640951E-1,2.937411666E-1
2.451899547E1,-5.749599934E-1,1.411820799E-1,4.214082658E-1
2.452389182E1,-5.725166202E-1,1.149156392E-1,5.319716334E-1
2.452878818E1,-5.554128885E-1,8.009734750E-2,6.187118888E-1
2.453368453E1,-5.248705149E-1,3.611634299E-2,6.773532629E-1
2.453858948E1,-4.845545888E-1,-1.763821393E-2,7.066739202E-1
2.454347724E1,-4.375193417E-1,-7.689040154E-2,7.109498382E-1
2.454837360E1,-3.941491842E-1,-1.385859698E-1,6.920135617E-1
2.455326995E1,-3.581092060E-1,-1.978381574E-1,6.547518969E-1
2.455816630E1,-3.336753249E-1,-2.607554197E-1,6.058841348E-1
2.456306266E1,-3.232909143E-1,-3.236726820E-1,5.527403951E-1
2.456795901E1,-3.318427801E-1,-3.829248846E-1,4.995967150E-1
2.457285537E1,-3.593308926E-1,-4.330143631E-1,4.458421469E-1
2.457775172E1,-4.063661397E-1,-4.745519757E-1,3.933092654E-1
2.458264813E1,-4.711159468E-1,-4.983749986E-1,3.432198167E-1
2.458764188E1,-5.401417017E-1,-4.971533120E-1,2.943520248E-1
2.459244078E1,-5.969504714E-1,-4.605024755E-1,2.473167777E-1
2.459733719E1,-6.354338527E-1,-3.896442056E-1,2.008923888E-1
2.460223354E1,-6.562026739E-1,-2.894652486E-1,1.575222313E-1
2.460712990E1,-6.580352187E-1,-1.471378356E-1,1.152974218E-1
2.461202625E1,-6.336013079E-1,4.955498502E-2,6.765133142E-2
2.461692261E1,-5.786250830E-1,2.865637243E-1,1.817270555E-2
2.462181896E1,-4.986040890E-1,5.370110869E-1,-2.153236605E-2
2.462671531E1,-3.972034156E-1,7.782957554E-1,-4.596625641E-2
2.463161167E1,-2.750339806E-1,9.878163934E-1,-6.123743951E-2
2.463650802E1,-1.449235082E-1,1.146636605E0,-7.345438004E-2
2.464140438E1,-3.008422814E-2,1.241317987E0,-9.972081333E-2
2.464630073E1,2.367033064E-2,1.248648167E0,-1.406475753E-1
2.465119709E1,-3.374931216E-2,1.147858381E0,-1.889045089E-1
2.465609349E1,-2.298312783E-1,9.554414749E-1,-2.774773538E-1
2.466098985E1,-5.755708218E-1,7.587486506E-1,-5.028799772E-1
2.466588620E1,-1.119224906E0,6.414659619E-1,-9.616262913E-1
2.467078255E1,-1.872399569E0,6.500178576E-1,-1.651883721E0
2.467567891E1,-2.706282377E0,7.709655762E-1,-2.551738024E0
2.468059344E1,-3.561468601E0,8.632035255E-1,-3.505881548E0
2.468547162E1,-4.351294041E0,9.212340117E-1,-4.157044888E0
2.469036797E1,-4.877309799E0,1.161907792E0,-4.274327278E0
2.469526432E1,-5.017804623E0,1.461833835E0,-3.971347094E0
2.470016068E1,-4.809505939E0,1.364709139E0,-3.470452309E0
2.470505703E1,-4.199803829E0,8.851940632E-1,-2.738046408E0
2.470997156E1,-3.212674856E0,1.973800212E-1,-1.792989373E0
2.471484974E1,-2.122923374E0,-5.937435627E-1,-8.467870355E-1
2.471974610E1,-1.160762548E0,-1.448318839E0,-8.811471611E-2
2.472464245E1,-3.892624080E-1,-2.115364075E0,4.183540046E-1
2.472955698E1,2.044811249E-1,-2.439723969E0,7.023980021E-1
2.473443516E1,6.332958937E-1,-2.538681269E0,8.190698028E-1
2.473933151E1,9.210813046E-1,-2.467211962E0,8.325084448E-1
2.474422792E1,1.108611465E0,-2.186833143E0,7.873057723E-1
2.474914245E1,1.220396519E0,-1.714648247E0,7.097281814E-1
2.475402063E1,1.272318482E0,-1.131899953E0,6.113817692E-1
2.475891698E1,1.272318482E0,-5.435777307E-1,5.002075434E-1
2.476381334E1,1.223450661E0,-1.641651988E-2,3.774272501E-1
2.476870969E1,1.138542891E0,3.977379203E-1,2.540360987E-1
2.477360604E1,1.058521986E0,6.762842536E-1,1.299577504E-1
2.477850240E1,9.919396043E-1,8.515974283E-1,3.512371797E-3
2.478339875E1,9.192487597E-1,9.493330121E-1,-9.972081333E-2
2.478829875E1,8.263999820E-1,9.762102962E-1,-1.730224788E-1
2.479319146E1,7.065975666E-1,9.139038324E-1,-2.115058601E-1
2.479808781E1,5.661026835E-1,7.514184713E-1,-2.127275616E-1
2.480298417E1,4.274403751E-1,5.192965269E-1,-1.766875684E-1
2.480788052E1,3.052709103E-1,2.456369549E-1,-1.113269106E-1
2.481277688E1,2.044811249E-1,-6.406260282E-2,-1.664558798E-2
2.481767323E1,1.238492802E-1,-3.743730187E-1,9.208522737E-2
2.482256958E1,5.299099907E-2,-6.395570636E-1,1.960056126E-1
2.482756563E1,-2.580829710E-2,-7.818844914E-1,2.821350694E-1
2.483256000E1,-2.182251811E-1,-7.653915882E-1,4.000285864E-1
2.483755427E1,-3.043546379E-1,-7.446228266E-1,4.287384152E-1
2.484254854E1,-3.611634374E-1,-7.855495811E-1,4.446204603E-1
2.484754281E1,-3.770454824E-1,-9.602518678E-1,4.574482441E-1
2.485253708E1,-3.361186981E-1,-1.343253136E0,4.751628041E-1
2.485753136E1,-2.310529798E-1,-1.757407546E0,5.032618046E-1
2.486252563E1,-8.872556686E-2,-1.974869132E0,5.472427607E-1
2.486751990E1,6.276455522E-2,-1.976701736E0,5.997756720E-1
2.487251417E1,2.356343269E-1,-1.816659689E0,6.584169865E-1
2.487750844E1,4.378247857E-1,-1.566823244E0,7.133932710E-1
2.488250271E1,6.467345357E-1,-1.272394896E0,7.524874806E-1
2.488751552E1,8.483904600E-1,-9.468132257E-1,7.836406827E-1
2.489249130E1,1.040196538E0,-6.004628539E-1,8.105179667E-1
2.489748557E1,1.219174743E0,-2.436517030E-1,8.300650716E-1
2.490247985E1,1.381660104E0,1.033095419E-1,8.392277956E-1
2.490747412E1,1.525209308E0,4.142307937E-1,8.355627060E-1
2.491246839E1,1.643713593E0,6.616239548E-1,8.178481460E-1
2.491746266E1,1.740838289E0,8.351045847E-1,7.928034067E-1
2.492245693E1,1.817805052E0,9.450570941E-1,7.579851151E-1
2.492745120E1,1.875835538E0,1.001865864E0,7.097281814E-1
2.493244547E1,1.913097262E0,1.013471961E0,6.486434340E-1
2.493745828E1,1.932033539E0,9.859838486E-1,5.826719403E-1
2.494243401E1,1.934476972E0,9.242882729E-1,5.160895586E-1
2.494742828E1,1.922259927E0,8.369371295E-1,4.495072365E-1
2.495242255E1,1.896604419E0,7.324821949E-1,3.859791160E-1
2.495743542E1,1.858121037E0,6.170321107E-1,3.200076222E-1
2.496241115E1,1.803755641E0,5.009710789E-1,2.515927255E-1
2.496740542E1,1.729843140E0,3.867426813E-1,1.819561273E-1
2.497239969E1,1.638826847E0,2.853420377E-1,1.165191159E-1
2.497739396E1,1.528874278E0,1.992125660E-1,5.421269313E-2
2.498238823E1,1.394487977E0,1.198024154E-1,-3.817795310E-3
2.498738250E1,1.241165280E0,3.917058185E-2,-5.451811850E-2
2.499237677E1,1.068295479E0,-4.268295318E-2,-9.972081333E-2
2.499737104E1,8.795437217E-1,-1.227039397E-1,-1.449235082E-1
2.500236531E1,6.778877378E-1,-1.990598440E-1,-1.919587553E-1
2.500735959E1,4.689779878E-1,-2.729723752E-1,-2.408265322E-1
2.501235386E1,2.472404242E-1,-3.511608243E-1,-2.890834510E-1
2.501734813E1,1.145338640E-2,-4.427879155E-1,-3.391729295E-1
2.502234240E1,-2.365505993E-1,-5.460211039E-1,-3.984251320E-1
2.502733672E1,-4.857762754E-1,-6.224533319E-1,-4.515688419E-1
2.503233099E1,-7.411104441E-1,-6.829272509E-1,-5.108210444E-1
2.503732526E1,-9.940012097E-1,-7.330167294E-1,-5.676298141E-1
2.504231953E1,-1.226123214E0,-7.574505806E-1,-6.164975762E-1
2.504731380E1,-1.435643792E0,-7.513421178E-1,-6.598677635E-1
2.505230807E1,-1.626838923E0,-7.207997441E-1,-7.026270628E-1
2.505730234E1,-1.807649732E0,-6.768187881E-1,-7.386670709E-1
2.506229662E1,-1.976930857E0,-6.267293096E-1,-7.679877281E-1
2.506729089E1,-2.130253553E0,-5.693096519E-1,-7.973083854E-1
2.507228386E1,-2.265250683E0,-5.020400882E-1,-8.357917666E-1
2.507718021E1,-2.376424789E0,-4.189648628E-1,-8.791618943E-1
2.508207656E1,-2.458889246E0,-3.096232116E-1,-9.213103652E-1
2.508697292E1,-2.506535292E0,-1.819561273E-1,-9.561286569E-1
2.509186927E1,-2.526693344E0,-4.512634128E-2,-9.866710305E-1
2.509676563E1,-2.521806479E0,9.109259397E-2,-1.011104941E0
2.510166203E1,-2.491874933E0,2.138728946E-1,-1.025154471E0
2.510655839E1,-2.437509537E0,3.152735531E-1,-1.017824292E0
2.511145474E1,-2.347715139E0,3.971270621E-1,-1.011715770E0
2.511635110E1,-2.215161324E0,4.753155112E-1,-1.019656777E0
2.512124745E1,-2.048399925E0,5.388436317E-1,-1.040425539E0
2.512614380E1,-1.848576546E0,5.877113938E-1,-1.068524599E0
2.513104016E1,-1.623173833E0,6.054260135E-1,-1.099066973E0
2.513593651E1,-1.380056620E0,5.785487294E-1,-1.128998399E0
2.514083287E1,-1.123500824E0,5.083012581E-1,-1.149767280E0
2.514572922E1,-8.590039611E-1,4.117874205E-1,-1.156486630E0
2.515064375E1,-5.859552622E-1,2.920613587E-1,-1.154043198E0
2.515552193E1,-3.171824515E-1,1.546207070E-1,-1.138161182E0
2.516041828E1,-6.917845458E-2,-8.475505747E-3,-1.102732062E0
2.516531464E1,1.458397806E-1,-1.874537468E-1,-1.042868972E0
2.517022922E1,3.126010895E-1,-3.560476005E-1,-9.640696645E-1
2.517510740E1,4.268295169E-1,-4.916556776E-1,-8.693883419E-1
2.518002188E1,4.866925478E-1,-5.717530251E-1,-7.710419297E-1
2.518490011E1,4.970769584E-1,-5.864133835E-1,-6.696413159E-1
2.518981464E1,4.671454430E-1,-5.484644771E-1,-5.615213513E-1
2.519469281E1,3.993414044E-1,-4.824929833E-1,-4.564556181E-1
2.519960734E1,3.040492237E-1,-4.256841838E-1,-3.629959822E-1
2.520448552E1,1.971509457E-1,-3.914767504E-1,-2.909159958E-1
2.520940005E1,8.780929446E-2,-3.652102947E-1,-2.444916219E-1
2.521427823E1,-1.359135192E-2,-3.346679509E-1,-2.163926363E-1
2.521917458E1,-9.361234307E-2,-2.882435620E-1,-1.974563748E-1
2.522407094E1,-1.406475753E-1,-2.198286504E-1,-1.760767251E-1
2.522896729E1,-1.522536725E-1,-1.373642832E-1,-1.491994411E-1
2.523386365E1,-1.284306347E-1,-4.818057641E-2,-1.265980899E-1
2.523876000E1,-6.734590977E-2,5.016583204E-2,-1.125486046E-1
2.524365641E1,2.428117767E-2,1.436254680E-1,-1.033858955E-1
2.524855641E1,1.354553849E-1,2.297549248E-1,-9.300149232E-2
2.525344912E1,2.557922900E-1,3.421508074E-1,-7.834116369E-2
2.525834547E1,3.718532622E-1,5.009710789E-1,-6.429167092E-2
2.526324182E1,4.830274582E-1,6.909446120E-1,-5.024218559E-2
2.526813818E1,5.929799676E-1,8.821398020E-1,-3.924693540E-2
2.527303453E1,6.980457306E-1,1.029964805E0,-3.252761811E-2
2.527793089E1,7.873057723E-1,1.107542396E0,-3.008422814E-2
2.528282724E1,8.532772660E-1,1.090438724E0,-3.374931216E-2
2.528775563E1,8.948148489E-1,9.694909453E-1,-3.985778242E-2
