"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.289691680E-1,4.555393457E-1,-2.277696729E-1,2.901524538E-3
4.338618760E-1,4.188885093E-1,-7.689040154E-2,-3.802524135E-2
4.387617720E-1,3.773508966E-1,1.094180122E-1,-9.116895497E-2
4.436545330E-1,3.303156495E-1,3.079433739E-1,-1.571404636E-1
4.485508350E-1,2.771719396E-1,5.089121461E-1,-2.286095917E-1
4.534471370E-1,2.289150059E-1,7.147676349E-1,-2.970244884E-1
4.583434910E-1,1.898207814E-1,9.255099297E-1,-3.538332880E-1
4.632397930E-1,1.605001241E-1,1.105709910E0,-4.051444530E-1
4.681360950E-1,1.525591016E-1,1.240096331E0,-4.503471553E-1
4.730324490E-1,1.727170646E-1,1.331112504E0,-4.766135812E-1
4.779287510E-1,2.124221325E-1,1.372039318E0,-4.845545888E-1
4.828250540E-1,2.625116110E-1,1.364098310E0,-4.760027230E-1
4.877214080E-1,3.260397315E-1,1.309122086E0,-4.527905285E-1
4.926177100E-1,4.011739492E-1,1.218716621E0,-4.118637741E-1
4.975140120E-1,4.860817194E-1,1.114872575E0,-3.599417508E-1
5.024103140E-1,5.734328628E-1,9.908705950E-1,-3.049654961E-1
5.073066680E-1,6.620057225E-1,8.186116815E-1,-2.524326444E-1
5.122029700E-1,7.585959435E-1,5.620558262E-1,-2.023431510E-1
5.170992720E-1,8.569423556E-1,2.560213506E-1,-1.663031727E-1
5.219956260E-1,9.357416630E-1,-5.551074445E-2,-1.388150454E-1
5.268919290E-1,9.827768803E-1,-3.462740481E-1,-1.052184403E-1
5.317882310E-1,1.002323985E0,-5.931326747E-1,-6.734590977E-2
5.366845850E-1,1.008432508E0,-8.448017836E-1,-4.657710344E-2
5.415808870E-1,1.031033874E0,-1.225970507E0,-8.444963396E-2
5.464771890E-1,1.046915889E0,-1.663337111E0,-1.437018216E-1
5.513734910E-1,1.036531448E0,-2.104979753E0,-1.907370538E-1
5.562698450E-1,1.008432508E0,-2.519134045E0,-2.353289127E-1
5.611661470E-1,9.778901339E-1,-2.881977320E0,-2.964136302E-1
5.660624490E-1,9.442934990E-1,-3.205726385E0,-3.660502136E-1
5.709588040E-1,9.039775729E-1,-3.487403393E0,-4.063661397E-1
5.758551060E-1,8.691592813E-1,-3.733574867E0,-4.112529159E-1
5.807514080E-1,8.514447212E-1,-3.935154438E0,-4.057552814E-1
5.856477620E-1,8.373952508E-1,-4.057323933E0,-4.033119082E-1
5.905622410E-1,8.062420487E-1,-4.073816776E0,-3.972034156E-1
5.954403660E-1,7.488223910E-1,-3.980357170E0,-3.684936166E-1
6.003367200E-1,6.846070886E-1,-3.779388428E0,-3.165715933E-1
