"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.300891680E-1,7.522436380E-1,8.429315567E0,1.330110312E0
4.349818760E-1,9.101698995E-1,8.369495392E0,9.804590940E-1
4.398817720E-1,1.168893814E0,8.244769096E0,7.531409264E-1
4.447745330E-1,1.391426325E0,8.127521515E0,6.478567123E-1
4.496708350E-1,1.408176184E0,8.072485924E0,6.023930907E-1
4.545671370E-1,1.264606714E0,8.149056435E0,5.688936114E-1
4.594634910E-1,1.266999602E0,8.276175499E0,7.746763229E-1
4.643597930E-1,1.271785259E0,8.479565620E0,1.243968725E0
4.692560950E-1,1.113858938E0,8.737990379E0,1.907079697E0
4.741524490E-1,9.364909530E-1,8.939286232E0,2.503191471E0
4.790487510E-1,8.503493667E-1,9.070891380E0,2.941377163E0
4.839450540E-1,6.924230456E-1,9.231210709E0,3.453740358E0
4.888414080E-1,4.528416991E-1,9.473184586E0,3.968496323E0
4.937377100E-1,1.322034448E-1,9.779465675E0,4.320241451E0
4.986340120E-1,-8.584251255E-2,9.956833839E0,4.610072136E0
5.035303140E-1,-2.006980032E-1,9.992726326E0,5.057828903E0
5.084266680E-1,-4.304089844E-1,1.013390255E1,5.998507500E0
5.133229700E-1,-3.442673683E-1,1.011236763E1,6.760023117E0
5.182192720E-1,-3.083750308E-1,1.003818989E1,6.803093910E0
5.231156260E-1,-4.160520434E-1,1.006451130E1,6.465406895E0
5.280119290E-1,-5.237290859E-1,1.013390255E1,5.965007782E0
5.329082310E-1,-3.251247704E-1,1.025832939E1,5.831009865E0
5.378045850E-1,9.101698995E-1,9.540184021E0,7.559525013E0
5.427008870E-1,1.343569875E0,8.939286232E0,8.270492554E0
5.475971890E-1,9.245268703E-1,8.699705124E0,8.050353050E0
5.524934910E-1,3.403790295E-1,8.675776482E0,7.619345665E0
5.573898450E-1,2.805584669E-1,8.716454506E0,7.262814999E0
5.622861470E-1,2.949153781E-1,8.857930183E0,6.853343010E0
5.671824490E-1,-2.006980032E-1,9.226425171E0,6.218945980E0
5.720788040E-1,-7.393822074E-1,9.633503914E0,5.754439354E0
5.769751060E-1,-9.643075466E-1,9.848857880E0,5.524728298E0
5.818714080E-1,-8.757730722E-1,9.877572060E0,4.904388905E0
5.867677620E-1,-9.523434043E-1,9.934999466E0,3.551846027E0
5.916822410E-1,-1.256531000E0,1.015304565E1,2.125125647E0
5.965603660E-1,-1.641775489E0,1.035882854E1,9.855438471E-1
6.014567200E-1,-1.656132340E0,9.985548019E0,4.372883439E-1
6.063530220E-1,-1.165304661E0,9.879964828E0,-3.720839322E-1
6.112493240E-1,-5.907281041E-1,9.997511864E0,-6.448656917E-1
6.161456790E-1,-3.529413417E-2,1.016979504E1,-8.318049908E-1
6.210419810E-1,-6.400800496E-2,1.041386318E1,-8.341978192E-1
6.259382830E-1,-5.213362575E-1,1.076830006E1,-1.252941728E0
6.308530740E-1,-1.357029557E0,1.135244751E1,-2.050349951E0
6.357309390E-1,-2.357827663E0,1.207777214E1,-3.321537018E0
6.406454700E-1,-2.032104731E0,1.219292736E1,-1.624128342E0
6.455235430E-1,-1.653739572E0,1.178584766E1,-1.487737536E0
6.504380740E-1,-1.364207983E0,1.131894875E1,-7.791628838E-1
6.553161990E-1,-1.254138112E0,1.111077309E1,6.131608039E-2
6.602125010E-1,-9.236295223E-1,1.093819046E1,8.201399446E-1
6.651088560E-1,-4.686941206E-1,1.058883858E1,1.789831281E0
6.700051580E-1,-9.541380405E-2,1.007886791E1,2.836092949E0
6.749014600E-1,2.590230405E-1,9.475577354E0,3.954139471E0
6.797978140E-1,5.895316601E-1,8.934500694E0,5.021936417E0
6.846941160E-1,6.110670567E-1,8.587242126E0,5.732903957E0
6.895938560E-1,4.384847581E-1,8.417351723E0,6.005685806E0
6.944867720E-1,3.140579760E-1,8.278568268E0,5.974578857E0
6.993830740E-1,-3.050848842E-2,8.259126663E0,5.613262653E0
7.042793760E-1,-3.586242795E-1,8.309675217E0,5.177470207E0
7.091756790E-1,-4.950151742E-1,8.388637543E0,5.038686275E0
7.140720330E-1,-3.131606579E-1,8.520243645E0,4.234099865E0
7.189683350E-1,-1.528415531E-1,8.467600822E0,2.800200701E0
7.238646370E-1,-3.529413417E-2,8.615956306E0,1.801795483E0
7.287609910E-1,-7.118647546E-2,9.137890816E0,1.550549030E0
7.336572930E-1,-2.557329237E-1,9.669396400E0,1.107577801E0
7.385535950E-1,-3.370888829E-1,9.899106979E0,5.449653864E-1
7.434499490E-1,-5.045864582E-1,9.908679008E0,1.785643846E-1
7.483462510E-1,-6.436693072E-1,9.748359680E0,2.718844712E-1
7.532425540E-1,-7.034898400E-1,9.544969559E0,5.808576941E-1
7.581388560E-1,-7.944171429E-1,9.336494446E0,1.052542806E0
7.630352100E-1,-9.451649189E-1,9.231210709E0,1.579262972E0
7.679315120E-1,-1.292423368E0,9.317352295E0,1.919043779E0
7.728278140E-1,-1.706381679E0,9.588040352E0,2.115554333E0
7.777241680E-1,-1.838286042E0,9.781859398E0,2.108375788E0
7.826204700E-1,-1.823929071E0,9.882357597E0,2.194517374E0
7.875167720E-1,-1.965105653E0,9.964012146E0,2.598904610E0
7.924313040E-1,-2.123031855E0,1.010279655E1,3.501596928E0
7.973094290E-1,-2.060818434E0,1.024875832E1,4.377968311E0
8.022057310E-1,-1.890928149E0,1.039232826E1,4.763212681E0
8.071020850E-1,-1.773679733E0,1.050718307E1,4.478466511E0
8.119983870E-1,-2.003390789E0,1.073958588E1,3.841676712E0
8.168946890E-1,-2.175673962E0,1.093819046E1,3.209373474E0
8.217910430E-1,-2.134995937E0,1.098365402E1,2.831307411E0
8.266873450E-1,-2.005783558E0,1.089033413E1,2.639582396E0
8.316018760E-1,-1.871785522E0,1.073480034E1,2.373979092E0
8.364799490E-1,-1.833500385E0,1.069651508E1,2.009970903E0
8.413944810E-1,-1.718345761E0,1.067498016E1,1.756331801E0
8.462726060E-1,-1.476670623E0,1.056730270E1,1.502393484E0
8.511689080E-1,-1.333101273E0,1.041864872E1,1.198505044E0
8.560652620E-1,-1.258923769E0,1.023918724E1,1.074078321E0
8.609797410E-1,-1.167697430E0,1.001904774E1,1.074078321E0
8.658578660E-1,-9.786644578E-1,9.762716293E0,1.165005565E0
8.707723450E-1,-8.542376757E-1,9.442078590E0,1.342074394E0
8.756505220E-1,-7.561319470E-1,9.123533249E0,1.552941918E0
8.805650010E-1,-7.010970116E-1,8.778668404E0,1.749153376E0
8.854431260E-1,-6.146563292E-1,8.414958954E0,1.986042738E0
8.903576580E-1,-4.112663865E-1,8.053343773E0,2.318944216E0
8.952357830E-1,-2.078764737E-1,7.730312824E0,2.673381090E0
9.001320850E-1,-1.854437590E-2,7.485945702E0,2.979662418E0
9.050284390E-1,2.446661144E-1,7.330412388E0,3.238386393E0
9.099247410E-1,3.547359705E-1,7.275377274E0,3.446561813E0
9.148210430E-1,3.906283081E-1,7.337590694E0,3.602095366E0
9.197173970E-1,2.925225794E-1,7.548159122E0,3.671487331E0
9.246136990E-1,6.999006122E-2,7.900203228E0,3.654737473E0
9.295100010E-1,-1.983051747E-1,8.316853523E0,3.585345745E0
9.344063040E-1,-4.686941206E-1,8.728418350E0,3.520739317E0
9.394001060E-1,-7.944171429E-1,9.140283585E0,3.511168242E0
9.441989080E-1,-1.079162955E0,9.561718941E0,3.501596928E0
9.490953140E-1,-1.014556766E0,9.901499748E0,3.465704441E0
9.539916160E-1,-9.236295223E-1,1.007168961E1,3.468097210E0
9.588879180E-1,-8.111668825E-1,1.018175983E1,3.506382465E0
9.637842200E-1,-7.058826685E-1,1.022722340E1,3.489632607E0
9.686805740E-1,-4.088735580E-1,1.036361408E1,3.448954821E0
9.735768760E-1,-1.504487246E-1,1.049043369E1,3.305385351E0
9.784731790E-1,-1.528415531E-1,1.060319519E1,3.003590584E0
9.833695330E-1,-5.165506005E-1,1.077069283E1,2.678166628E0
9.882658350E-1,-9.188438654E-1,1.097647572E1,2.486441851E0
9.931621370E-1,-1.071984529E0,1.105783176E1,2.318944216E0
9.980584390E-1,-1.071984529E0,1.093579769E1,2.242373943E0
1.002954793E0,-1.194018483E0,1.066780186E1,2.158625126E0
1.007851095E0,-1.002592683E0,1.027507973E1,2.170589209E0
1.012747397E0,-6.314060688E-1,9.925428391E0,2.273480654E0
1.017643751E0,-4.304089844E-1,9.568898201E0,2.395514488E0
1.022540054E0,-3.011965454E-1,9.267103195E0,2.596511602E0
1.027436356E0,-2.102692872E-1,9.113962173E0,2.735594511E0
1.032332710E0,-3.801597059E-1,9.111569405E0,2.826521635E0
1.037229012E0,-5.045864582E-1,9.066105843E0,2.879163742E0
1.042125314E0,-6.098706722E-1,9.023035049E0,2.879163742E0
1.047021668E0,-7.369893789E-1,9.046963692E0,3.065804005E0
1.051917970E0,-9.164510965E-1,9.133105278E0,3.637987614E0
1.056814272E0,-1.038485050E0,9.271888733E0,4.246063709E0
1.061728804E0,-9.332008362E-1,9.362815857E0,4.404289246E0
1.066606929E0,-6.891329288E-1,9.374779701E0,4.057030678E0
1.071521408E0,-5.955137610E-1,9.442078590E0,3.585345745E0
1.076399533E0,-7.728816867E-1,9.640682220E0,3.231207848E0
1.081295887E0,-1.067198873E0,9.927821159E0,2.950948477E0
1.086192189E0,-1.232602715E0,1.020329475E1,2.764308453E0
1.091106668E0,-1.287637711E0,1.050000477E1,2.702095032E0
1.095984845E0,-1.215852976E0,1.075394344E1,2.630011082E0
1.100899324E0,-1.199103236E0,1.091665554E1,2.529512644E0
1.105777449E0,-1.354636669E0,1.096929741E1,2.551048040E0
1.110691981E0,-1.462313771E0,1.091186905E1,2.622832775E0
1.115570106E0,-1.419242978E0,1.074197865E1,2.723630428E0
1.120469949E0,-1.299601793E0,1.045932674E1,2.675773859E0
1.125362710E0,-1.215852976E0,1.017458057E1,2.378764868E0
1.130259064E0,-1.357029557E0,9.899106979E0,1.962114573E0
1.135155366E0,-1.431207061E0,9.736394882E0,1.639083505E0
1.140055158E0,-9.332008362E-1,9.530612946E0,1.576870084E0
1.144948022E0,-7.274180651E-1,9.317352295E0,1.624726534E0
1.149844324E0,-6.580262184E-1,9.130712509E0,1.619940877E0
1.154740626E0,-6.508477330E-1,9.073284149E0,1.584048629E0
1.159636929E0,-5.620142221E-1,9.118747711E0,1.581655741E0
1.164533283E0,-4.423730969E-1,9.247960091E0,1.622333765E0
1.169429585E0,-4.663013220E-1,9.377172470E0,1.677368641E0
1.174325887E0,-6.364908218E-1,9.559326172E0,1.708475351E0
1.179222241E0,-7.345965505E-1,9.700503349E0,1.722832322E0
1.184118543E0,-8.829515576E-1,9.832108498E0,1.753939033E0
1.189018126E0,-1.055234790E0,9.942177773E0,1.861616015E0
1.193911199E0,-1.201496124E0,9.992726326E0,2.129911184E0
1.198807501E0,-1.285244823E0,1.002622604E1,2.608475685E0
1.203703804E0,-1.536491275E0,1.011715317E1,3.056232691E0
1.208600106E0,-1.761715651E0,1.011715317E1,3.324527979E0
1.213496460E0,-1.788036704E0,1.000229740E1,3.322135210E0
1.218392762E0,-1.802393675E0,9.983155251E0,3.257529020E0
1.223289064E0,-1.653739572E0,1.022004509E1,3.288635731E0
1.228185418E0,-1.464706540E0,1.040668488E1,3.255136013E0
1.233081720E0,-1.524527073E0,1.042821980E1,3.199802160E0
1.237978022E0,-1.586740494E0,1.027507973E1,3.056232691E0
1.242874376E0,-1.495813251E0,1.007886791E1,2.788236618E0
1.247770679E0,-1.392921925E0,9.947262764E0,2.512762785E0
1.252666981E0,-1.309173107E0,9.851250648E0,2.273480654E0
1.257563283E0,-1.244566917E0,9.741181374E0,2.117947102E0
1.262459637E0,-1.234995604E0,9.657432556E0,1.945364833E0
1.267355939E0,-1.227817178E0,9.564111710E0,1.753939033E0
1.272252241E0,-1.083948612E0,9.408578873E0,1.552941918E0
1.277148595E0,-9.212366939E-1,9.224032402E0,1.325324655E0
1.282044897E0,-8.925228715E-1,9.118747711E0,1.155434251E0
1.286941199E0,-9.547362328E-1,9.106783867E0,1.023828983E0
1.291855991E0,-9.858429432E-1,9.202496529E0,9.230313301E-1
1.296733856E0,-7.992027402E-1,9.353244781E0,8.871390224E-1
1.301630158E0,-7.106683254E-1,9.537791252E0,8.440681696E-1
1.306526460E0,-7.274180651E-1,9.726823807E0,8.009973764E-1
1.311440939E0,-6.266204119E-1,9.973584175E0,3.149552941E-1
1.316319116E0,-2.198405862E-1,9.973584175E0,-1.329811215E0
1.321233595E0,-4.486542568E-2,9.848857880E0,-1.459023595E0
1.326111772E0,-1.794616925E-3,9.765109062E0,-1.075872898E0
1.331008074E0,-2.811566554E-2,9.698110580E0,-7.049853802E-1
1.335904376E0,-3.203391433E-1,9.688538551E0,-7.746763527E-2
1.340818856E0,-6.388836503E-1,9.614361763E0,6.717849374E-1
1.345697033E0,-6.218347549E-1,9.542576790E0,1.535893083E0
1.350593335E0,-7.010970116E-1,9.568898201E0,2.132304192E0
1.355489637E0,-1.024128079E0,9.571290970E0,2.342872381E0
1.360385991E0,-1.297209024E0,9.580862045E0,2.347658157E0
1.365282293E0,-1.565205097E0,9.240781784E0,1.962114573E0
1.370178595E0,-9.595218897E-1,9.018249512E0,1.332503080E0
1.375074897E0,-1.719841212E-1,9.772287369E0,4.468596280E-1
1.379971251E0,-7.633104324E-1,1.053380394E1,-2.548356056E-1
1.384867554E0,-9.260223508E-1,1.080179977E1,2.264208496E-1
1.389767189E0,-6.098706722E-1,1.074197865E1,-1.372881979E-1
1.394660210E0,-1.935195327E-1,1.070847988E1,-3.984049559E-1
1.399556512E0,1.974078640E-2,1.073001480E1,4.456632212E-2
1.404452814E0,-4.136592150E-1,1.103390312E1,2.000399828E0
1.409349168E0,-1.739881158E0,1.151515961E1,6.740880489E0
1.414245470E0,-2.180459738E0,1.196291637E1,9.556335449E0
1.419141772E0,-1.653739572E0,1.249442291E1,6.221338749E0
1.424038074E0,-7.776673436E-1,1.183370399E1,4.325026870E-1
1.428934429E0,4.606183618E-2,1.074676514E1,-1.858924150E0
1.433830731E0,7.402794957E-1,1.010758209E1,-2.347059965E0
1.438727033E0,1.020239711E0,9.633503914E0,-2.545963287E0
1.443623387E0,8.072785139E-1,9.420542717E0,-2.301596165E0
