"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.069394810E-1,2.231250048E0,-3.871875000E1,-3.909375000E1
9.169394810E-1,2.700000048E0,-3.883125305E1,-3.911250305E1
9.269394810E-1,2.756250143E0,-3.873750305E1,-3.918750000E1
9.369394810E-1,2.906250000E0,-3.905625153E1,-3.900000000E1
9.469394810E-1,3.356250048E0,-3.909375000E1,-3.868125153E1
9.569394810E-1,3.750000238E0,-3.937500000E1,-3.841875076E1
9.669394810E-1,4.125000000E0,-3.975000000E1,-3.819375229E1
9.769394810E-1,4.387500286E0,-4.020000076E1,-3.817500305E1
9.869394810E-1,4.725000381E0,-4.027500153E1,-3.793125153E1
9.969394810E-1,4.687500000E0,-4.031250000E1,-3.768750000E1
1.006939481E0,5.006250381E0,-4.038750076E1,-3.746250153E1
1.016939481E0,5.231250286E0,-4.029375076E1,-3.735000229E1
1.026939481E0,5.325000286E0,-4.040625000E1,-3.746250153E1
1.036939481E0,5.343750000E0,-4.048125076E1,-3.742500305E1
1.046939481E0,5.493750095E0,-4.029375076E1,-3.718125153E1
1.056939481E0,5.718750000E0,-4.023750305E1,-3.686250305E1
1.066939481E0,5.962500095E0,-4.042500305E1,-3.665625000E1
1.076939481E0,6.056250095E0,-4.057500076E1,-3.676875305E1
1.086939481E0,6.281250477E0,-4.070625305E1,-3.669375229E1
1.096939481E0,6.412500381E0,-4.085625076E1,-3.643125153E1
1.106939481E0,6.506250381E0,-4.095000076E1,-3.618750000E1
1.116939481E0,6.656250477E0,-4.091250229E1,-3.603750229E1
1.126939481E0,6.787500381E0,-4.089375305E1,-3.609375000E1
1.136939481E0,6.656250477E0,-4.119375229E1,-3.590625000E1
1.146939481E0,6.506250381E0,-4.134375000E1,-3.590625000E1
1.156939481E0,6.543750286E0,-4.143750000E1,-3.558750153E1
1.166939481E0,6.356250286E0,-4.145625305E1,-3.562500000E1
1.176939481E0,6.206250191E0,-4.143750000E1,-3.571875000E1
1.186939481E0,6.375000477E0,-4.147500229E1,-3.571875000E1
1.196939481E0,6.281250477E0,-4.183125305E1,-3.571875000E1
1.206939481E0,6.281250477E0,-4.192500305E1,-3.553125000E1
1.216939481E0,6.450000286E0,-4.168125153E1,-3.568125153E1
1.226939481E0,6.600000381E0,-4.155000305E1,-3.555000305E1
1.236939481E0,6.731250286E0,-4.145625305E1,-3.558750153E1
1.246939481E0,6.806250095E0,-4.155000305E1,-3.560625076E1
1.256939481E0,6.993750095E0,-4.166250229E1,-3.547500229E1
1.266939481E0,6.731250286E0,-4.166250229E1,-3.541875076E1
1.276939481E0,6.750000477E0,-4.168125153E1,-3.540000153E1
1.286939481E0,6.581250191E0,-4.181250000E1,-3.534375000E1
1.296939481E0,6.431250095E0,-4.213125229E1,-3.506250000E1
1.306939481E0,6.187500477E0,-4.235625076E1,-3.495000076E1
1.316939481E0,5.943750381E0,-4.269375229E1,-3.478125000E1
1.326939481E0,5.962500095E0,-4.295625305E1,-3.468750000E1
1.336939481E0,5.681250095E0,-4.331250000E1,-3.461250305E1
1.346939481E0,5.643750191E0,-4.338750076E1,-3.442500305E1
1.356939481E0,5.681250095E0,-4.346250153E1,-3.433125305E1
1.366939481E0,5.681250095E0,-4.355625153E1,-3.423750305E1
1.376939481E0,5.887500286E0,-4.329375076E1,-3.442500305E1
1.386939481E0,6.018750191E0,-4.320000076E1,-3.455625153E1
1.396939481E0,6.243750095E0,-4.297500229E1,-3.457500076E1
1.406939481E0,6.187500477E0,-4.310625076E1,-3.438750076E1
1.416939481E0,6.450000286E0,-4.295625305E1,-3.436875153E1
1.426939481E0,6.581250191E0,-4.312500000E1,-3.423750305E1
1.436939481E0,6.543750286E0,-4.312500000E1,-3.410625076E1
1.446939481E0,6.600000381E0,-4.308750153E1,-3.410625076E1
1.456939481E0,6.393750191E0,-4.333125305E1,-3.378750229E1
1.466939481E0,6.506250381E0,-4.346250153E1,-3.360000229E1
1.476939481E0,6.281250477E0,-4.381875229E1,-3.350625229E1
1.486939481E0,6.243750095E0,-4.342500305E1,-3.348750305E1
1.496939481E0,6.037500381E0,-4.353750229E1,-3.341250229E1
1.506939481E0,5.906250000E0,-4.335000229E1,-3.350625229E1
1.516939481E0,5.868750095E0,-4.329375076E1,-3.345000076E1
1.526939481E0,5.737500191E0,-4.346250153E1,-3.339375305E1
1.536939481E0,5.625000000E0,-4.342500305E1,-3.363750076E1
1.546939481E0,5.306250095E0,-4.340625000E1,-3.365625000E1
1.556939481E0,5.250000000E0,-4.338750076E1,-3.367500305E1
1.566939481E0,5.175000191E0,-4.372500229E1,-3.352500153E1
1.576939481E0,5.156250000E0,-4.376250076E1,-3.352500153E1
1.586939481E0,5.250000000E0,-4.396875000E1,-3.358125305E1
1.596939481E0,4.893750191E0,-4.421250153E1,-3.354375076E1
1.606939481E0,5.025000095E0,-4.436250305E1,-3.343125153E1
