"event","experiment time","system time","system time text"
"START",0.000000000E0,1703279140.614,"2023-12-22 22:05:40.614 UTC+01:00"
"PAUSE",1.122659996E2,1703279252.880,"2023-12-22 22:07:32.880 UTC+01:00"
